subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 16, 1, 1, S2-19.jpg, NaN, 2, 0, NaN, 
 16, 1, 2, S1-15.jpg, NaN, 1, 0, NaN, 
 16, 1, 3, S1-15.jpg, NaN, 1, 0, NaN, 
 16, 1, 4, S2-19.jpg, NaN, 2, 0, NaN, 
 16, 1, 5, S2-19.jpg, 2, 2, 1, 1.483238e+00, 
 16, 1, 6, S2-19.jpg, 2, 2, 1, 8.165610e-01, 
 16, 1, 7, S2-19.jpg, 2, 2, 1, 1.033471e+00, 
 16, 1, 8, S1-15.jpg, 2, 1, 0, 1.033915e+00, 
 16, 1, 9, S2-19.jpg, 2, 2, 1, 8.333085e-01, 
 16, 1, 10, S2-19.jpg, 2, 2, 1, 8.165607e-01, 
 16, 1, 11, S1-15.jpg, 1, 1, 1, 6.833515e-01, 
 16, 1, 12, S1-15.jpg, 1, 1, 1, 7.001606e-01, 
 16, 1, 13, S2-19.jpg, 2, 2, 1, 7.353543e-01, 
 16, 1, 14, S2-19.jpg, 2, 2, 1, 7.334152e-01, 
 16, 1, 15, S1-15.jpg, 1, 1, 1, 1.033325e+00, 
 16, 1, 16, S1-15.jpg, 1, 1, 1, 7.666389e-01, 
 16, 1, 17, S1-15.jpg, 1, 1, 1, 6.999593e-01, 
 16, 1, 18, S1-15.jpg, 1, 1, 1, 7.001649e-01, 
 16, 1, 19, S2-19.jpg, 2, 2, 1, 5.832017e-01, 
 16, 1, 20, S1-15.jpg, 1, 1, 1, 7.332240e-01, 
