subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 26, 1, 1, S1-15.jpg, NaN, 1, 0, NaN, 
 26, 1, 2, S2-19.jpg, NaN, 2, 0, NaN, 
 26, 1, 3, S2-19.jpg, 2, 2, 1, 1.187288e+00, 
 26, 1, 4, S1-15.jpg, 1, 1, 1, 7.234432e-01, 
 26, 1, 5, S2-19.jpg, 2, 2, 1, 6.626931e-01, 
 26, 1, 6, S1-15.jpg, 1, 1, 1, 8.010428e-01, 
 26, 1, 7, S2-19.jpg, 2, 2, 1, 4.741540e-01, 
 26, 1, 8, S1-15.jpg, 1, 1, 1, 5.795691e-01, 
 26, 1, 9, S2-19.jpg, 2, 2, 1, 5.061242e-01, 
 26, 1, 10, S1-15.jpg, 1, 1, 1, 6.443397e-01, 
 26, 1, 11, S1-15.jpg, 1, 1, 1, 5.329709e-01, 
 26, 1, 12, S1-15.jpg, 1, 1, 1, 8.002813e-01, 
 26, 1, 13, S2-19.jpg, 2, 2, 1, 6.118365e-01, 
 26, 1, 14, S1-15.jpg, 1, 1, 1, 6.719159e-01, 
 26, 1, 15, S2-19.jpg, 2, 2, 1, 6.859856e-01, 
 26, 1, 16, S2-19.jpg, 2, 2, 1, 8.238825e-01, 
 26, 1, 17, S2-19.jpg, 2, 2, 1, 5.652497e-01, 
 26, 1, 18, S2-19.jpg, 2, 2, 1, 4.504574e-01, 
 26, 1, 19, S1-15.jpg, 1, 1, 1, 7.533126e-01, 
 26, 1, 20, S1-15.jpg, 1, 1, 1, 6.625088e-01, 
