subID,block,trial,image,imageIdx,cue,response,accuracy,RT,cueDuration,congruent
 0, 1, 1, S4-20.jpg, 1, [255 0 0], 1, 1, 0.04, 5.333333e-01, 0
 0, 1, 2, S4-20.jpg, 1, [195 0 255], 2, 0, 0.34, 5.166667e-01, NaN
 0, 1, 3, S4-20.jpg, 1, [0 0 255], 1, 1, 0.25, 6.000000e-01, 1
 0, 1, 4, S3-12.jpg, 2, [255 0 0], 2, 1, 0.18, 5.000000e-01, 1
 0, 1, 5, S4-20.jpg, 1, [255 0 0], 1, 1, 0.19, 6.333333e-01, 0
 0, 1, 6, S4-20.jpg, 1, [0 0 255], 2, 0, 0.09, 6.000000e-01, 1
 0, 1, 7, S3-12.jpg, 2, [255 0 0], 1, 0, 0.00, 7.833333e-01, 1
 0, 1, 8, S3-12.jpg, 2, [195 0 255], 1, 0, 0.00, 6.833333e-01, NaN
 0, 1, 9, S3-12.jpg, 2, [255 0 0], 1, 0, 0.00, 7.166667e-01, 1
 0, 1, 10, S4-20.jpg, 1, [195 0 255], 1, 1, 0.20, 7.500000e-01, NaN
 0, 1, 11, S3-12.jpg, 2, [195 0 255], 1, 0, 0.25, 1.500000e+00, NaN
 0, 1, 12, S3-12.jpg, 2, [255 0 0], 1, 0, 0.83, 5.666667e-01, 1
 0, 1, 13, S4-20.jpg, 1, [0 0 255], 1, 1, 0.06, 6.500000e-01, 1
 0, 1, 14, S4-20.jpg, 1, [195 0 255], 1, 1, 0.22, 5.333333e-01, NaN
 0, 1, 15, S3-12.jpg, 2, [255 0 0], 2, 1, 0.23, 5.500000e-01, 1
 0, 1, 16, S3-12.jpg, 2, [0 0 255], 2, 1, 0.00, 5.500000e-01, 0
 0, 1, 17, S4-20.jpg, 1, [0 0 255], 2, 0, 0.14, 5.500000e-01, 1
 0, 1, 18, S3-12.jpg, 2, [195 0 255], 1, 0, 0.05, 5.833333e-01, NaN
 0, 1, 19, S3-12.jpg, 2, [255 0 0], 1, 0, 0.00, 6.166667e-01, 1
 0, 1, 20, S3-12.jpg, 2, [255 0 0], 1, 0, 0.00, 5.000000e-01, 1
 0, 1, 21, S3-12.jpg, 2, [255 0 0], 1, 0, 0.00, 5.166667e-01, 1
 0, 1, 22, S3-12.jpg, 2, [195 0 255], 1, 0, 0.32, 6.666667e-01, NaN
 0, 1, 23, S3-12.jpg, 2, [0 0 255], 2, 1, 0.16, 5.000000e-01, 0
 0, 1, 24, S4-20.jpg, 1, [195 0 255], 2, 0, 0.01, 6.166667e-01, NaN
 0, 1, 25, S4-20.jpg, 1, [195 0 255], 2, 0, 0.03, 7.000000e-01, NaN
 0, 1, 26, S4-20.jpg, 1, [0 0 255], 1, 1, 0.00, 7.666667e-01, 1
 0, 1, 27, S4-20.jpg, 1, [0 0 255], 2, 0, 0.09, 5.666667e-01, 1
 0, 1, 28, S4-20.jpg, 1, [0 0 255], 1, 1, 0.00, 5.833333e-01, 1
 0, 1, 29, S3-12.jpg, 2, [195 0 255], 1, 0, 0.00, 5.333333e-01, NaN
 0, 1, 30, S4-20.jpg, 1, [0 0 255], 2, 0, 0.00, 7.333333e-01, 1
