subID,block,trial,image,actualResponse,correctResponse,accuracy,RT
 27, 1, 1, S2-19.jpg, NaN, 2, 0, NaN, 
 27, 1, 2, S1-15.jpg, NaN, 1, 0, NaN, 
 27, 1, 3, S2-19.jpg, 2, 2, 1, 7.208553e-01, 
 27, 1, 4, S2-19.jpg, 2, 2, 1, 1.612046e+00, 
 27, 1, 5, S1-15.jpg, 1, 1, 1, 1.181983e+00, 
 27, 1, 6, S1-15.jpg, 1, 1, 1, 1.414528e+00, 
 27, 1, 7, S1-15.jpg, 1, 1, 1, 8.482361e-01, 
 27, 1, 8, S1-15.jpg, 1, 1, 1, 6.252133e-01, 
 27, 1, 9, S1-15.jpg, 1, 1, 1, 5.446395e-01, 
 27, 1, 10, S1-15.jpg, 1, 1, 1, 5.065572e-01, 
 27, 1, 11, S1-15.jpg, 1, 1, 1, 6.479200e-01, 
 27, 1, 12, S2-19.jpg, 2, 2, 1, 6.243658e-01, 
 27, 1, 13, S1-15.jpg, 1, 1, 1, 6.154280e-01, 
 27, 1, 14, S2-19.jpg, 2, 2, 1, 6.478333e-01, 
 27, 1, 15, S2-19.jpg, 2, 2, 1, 5.771299e-01, 
 27, 1, 16, S2-19.jpg, 2, 2, 1, 5.536157e-01, 
 27, 1, 17, S2-19.jpg, 2, 2, 1, 7.065314e-01, 
 27, 1, 18, S1-15.jpg, 1, 1, 1, 4.594718e-01, 
 27, 1, 19, S2-19.jpg, 2, 2, 1, 5.651716e-01, 
 27, 1, 20, S2-19.jpg, 2, 2, 1, 7.065620e-01, 
